latitude,longitude,salinity,pressure,tritium
36.7,-44.51666667,35.183,1.225876925,1.22
36.7,-44.51666667,35.098,1.319128315,1.57
36.7,-44.51666667,35.024,1.420532738,1.94
36.7,-44.51666667,35.039,1.744321376,0.52
36.7,-44.51666667,35.025,1.933330914,0.82
36.9,-42.86666667,34.987,3.097401417,0.08
36.9,-42.86666667,35.022,2.443281367,0.22
36.9,-42.86666667,35.112,1.993354733,0.33
36.9,-42.86666667,35.097,1.441859236,1.26
36.9,-42.86666667,35.22,1.269479586,1.33
36.9,-42.86666667,35.269,0.91196285,1.55
36.9,-42.86666667,35.498,0.737969055,2.9
36.9,-42.86666667,36.411,0.092743582,5.42
36.9,-42.86666667,36.51,0.016126566,5.53
37.13333333,-41.08333333,35.61,0.61363894,4.05
37.13333333,-41.08333333,35.474,0.697539267,3.11
37.13333333,-41.08333333,35.343,0.746074297,2.66
37.13333333,-41.08333333,35.273,0.793608386,2.17
37.13333333,-41.08333333,35.495,0.83811754,2.06
37.13333333,-41.08333333,35.399,0.880611816,1.6
37.13333333,-41.08333333,35.321,0.969673641,1.32
37.13333333,-41.08333333,35.236,1.056745636,1.07
37.13333333,-41.08333333,35.272,1.141825473,1.06
37.13333333,-41.08333333,35.178,1.344527089,1.36
37.13333333,-41.08333333,35.248,1.516968359,1.18
37.13333333,-41.08333333,34.993,2.076799944,0.28
37.13333333,-41.08333333,34.978,2.727812026,0.18
37.13333333,-41.08333333,34.953,3.255932813,0.12
37.13333333,-41.08333333,34.894,4.217342309,0.2
37.13333333,-41.08333333,36.371,0.096778787,5.02
37.13333333,-41.08333333,36.393,0.035279099,5.34
37.25,-39.56666667,34.992,3.065819085,0.25
37.25,-39.56666667,35.054,2.326204394,0.22
37.25,-39.56666667,35.017,1.961894474,0.33
37.25,-39.56666667,35.314,1.313109987,1.18
37.25,-39.56666667,35.23,0.868478818,1.05
37.25,-39.56666667,35.342,0.711701639,2.1
37.25,-39.56666667,35.516,0.635881135,3.15
37.25,-39.56666667,36.411,0.079638662,4.84
37.25,-39.56666667,36.492,0.038303677,5.08
37.43333333,-37.36666667,34.989,3.114925485,0.15
37.43333333,-37.36666667,35.052,2.445436554,0.21
37.43333333,-37.36666667,35.069,2.100255859,0.23
37.43333333,-37.36666667,35.132,1.630693511,0.45
37.43333333,-37.36666667,35.274,1.407439817,0.83
37.43333333,-37.36666667,35.376,0.999058138,1.08
37.43333333,-37.36666667,35.335,0.722835982,2.53
37.43333333,-37.36666667,35.536,0.542918599,2.38
37.43333333,-37.36666667,35.85,0.384347323,4.18
37.43333333,-37.36666667,36.22,0.229923965,4.85
37.43333333,-37.36666667,36.382,0.113924092,5.21
37.43333333,-37.36666667,36.462,0.028223589,5.55
29.46666667,-73.56666667,34.74,3.047436288,0.23
29.46666667,-73.56666667,35.083,2.277845399,0.38
29.46666667,-73.56666667,35.016,1.814320491,0.24
29.46666667,-73.56666667,35.064,1.268679422,0.72
29.46666667,-73.56666667,35.067,1.043914536,0.64
29.46666667,-73.56666667,35.158,0.914423009,0.77
29.46666667,-73.56666667,35.367,0.812298985,2.06
29.46666667,-73.56666667,36.426,0.388123682,4.62
29.46666667,-73.56666667,36.459,0.040293313,4.31
37.5,-34.98333333,35.06,3.361410478,0.18
37.5,-34.98333333,35.077,2.340515976,0.06
37.5,-34.98333333,35.018,2.052453549,0.18
37.5,-34.98333333,35.154,1.566748303,0.51
